order_id,user_id,order_date,total_amount,category,status,payment_method,shipping_country
ORD-00000096,USR-000705,2024-12-08,45.35,sports,shipped,cod,CA
ORD-00000097,USR-000599,2026-05-17,20.17,toys,returned,cod,DE
ORD-00000098,USR-000557,2024-11-12,19.95,apparel,shipped,cod,UK
ORD-00000099,USR-000843,2024-09-08,6.15,toys,cancelled,cod,US
ORD-00000100,USR-000310,2025-02-03,16.44,sports,shipped,cod,DE
ORD-00000101,USR-000210,2024-09-11,45.99,apparel,cancelled,paypal,US
ORD-00000102,USR-000384,2026-07-25,11.33,apparel,returned,cod,CA
ORD-00000103,USR-000909,2025-09-07,48.83,apparel,cancelled,cod,UK
ORD-00000104,USR-000387,2025-08-08,27.3,books,returned,card,CA
ORD-00000105,USR-000387,2025-11-25,32.42,electronics,delivered,card,UK
ORD-00000106,USR-000555,2024-11-28,8.49,toys,shipped,cod,CA
ORD-00000107,USR-000707,2025-07-25,27.45,electronics,delivered,paypal,DE
ORD-00000108,USR-000958,2025-11-02,11.1,electronics,cancelled,card,US
ORD-00000109,USR-000930,2025-12-02,15.57,toys,shipped,card,US
ORD-00000110,USR-000557,2025-06-19,22.95,electronics,cancelled,cod,US
ORD-00000111,USR-000532,2026-03-14,16.37,apparel,returned,cod,US
ORD-00000112,USR-000869,2025-07-15,44.3,sports,cancelled,cod,UK
ORD-00000113,USR-000596,2025-01-05,35.35,apparel,cancelled,paypal,CA
ORD-00000114,USR-000110,2024-12-26,24.21,books,returned,apple_pay,DE
ORD-00000115,USR-000365,2024-10-18,25.08,books,delivered,card,DE
ORD-00000116,USR-000079,2024-12-09,23.94,toys,cancelled,cod,CA
ORD-00000117,USR-000097,2026-02-04,7.33,home,cancelled,cod,CA
ORD-00000118,USR-000763,2024-09-13,52.04,sports,cancelled,cod,CA
ORD-00000119,USR-000500,2025-10-27,67.24,apparel,shipped,card,DE
ORD-00000120,USR-000544,2026-05-10,10.06,toys,shipped,card,DE
ORD-00000121,USR-000228,2025-07-21,79.5,sports,delivered,paypal,US
ORD-00000122,USR-000482,2024-10-05,32.76,home,delivered,card,UK
ORD-00000123,USR-000706,2025-07-29,27.93,sports,shipped,apple_pay,UK
ORD-00000124,USR-000381,2026-05-18,25.24,electronics,cancelled,cod,CA
ORD-00000125,USR-000697,2025-12-19,32.57,apparel,shipped,cod,UK
ORD-00000126,USR-000751,2026-06-30,9.77,electronics,cancelled,apple_pay,US
ORD-00000127,USR-000449,2025-02-12,38.95,home,delivered,apple_pay,DE
ORD-00000128,USR-000889,2024-10-29,21.85,apparel,shipped,paypal,DE
ORD-00000129,USR-000831,2026-01-28,18.29,home,cancelled,apple_pay,US
ORD-00000130,USR-000845,2024-10-21,5.25,home,cancelled,paypal,US
ORD-00000131,USR-000322,2025-10-17,13.58,books,shipped,card,DE
ORD-00000132,USR-000613,2025-05-13,17.2,home,delivered,cod,UK
ORD-00000133,USR-000372,2025-09-23,72.98,sports,shipped,apple_pay,US
ORD-00000134,USR-000576,2026-04-27,107.66,sports,returned,paypal,UK
ORD-00000135,USR-000667,2026-07-18,20.11,apparel,shipped,paypal,FR
ORD-00000136,USR-000482,2025-09-18,12.84,apparel,returned,paypal,US
ORD-00000137,USR-000491,2026-03-25,46.62,apparel,shipped,apple_pay,CA
ORD-00000138,USR-000667,2024-09-26,15.25,home,delivered,paypal,US
ORD-00000139,USR-000422,2024-11-28,32.35,toys,shipped,cod,UK
ORD-00000140,USR-000316,2025-08-14,28.54,home,cancelled,apple_pay,CA
ORD-00000141,USR-000304,2026-07-26,49.41,home,shipped,card,CA
ORD-00000142,USR-000710,2026-08-03,6.16,home,delivered,apple_pay,DE
ORD-00000143,USR-000422,2026-02-06,4.51,apparel,delivered,cod,US
ORD-00000144,USR-000345,2025-04-21,21.37,books,cancelled,card,UK
ORD-00000145,USR-000507,2026-03-08,15.33,books,delivered,paypal,DE
ORD-00000146,USR-000040,2025-04-10,6.83,electronics,cancelled,apple_pay,US
ORD-00000147,USR-000701,2026-06-01,29.07,electronics,returned,card,US
ORD-00000148,USR-000028,2025-02-15,31.56,home,cancelled,paypal,FR
ORD-00000149,USR-000608,2025-05-07,50.58,sports,returned,cod,FR
ORD-00000150,USR-000680,2025-05-29,60.9,electronics,shipped,apple_pay,CA
ORD-00000151,USR-000238,2025-03-08,25.77,home,delivered,card,FR
ORD-00000152,USR-000802,2025-12-20,53.59,apparel,shipped,apple_pay,CA
ORD-00000153,USR-000288,2025-11-14,90.55,home,delivered,cod,DE
ORD-00000154,USR-000690,2026-06-06,5.39,home,returned,paypal,CA
ORD-00000155,USR-000826,2026-04-19,14.91,books,shipped,paypal,UK
ORD-00000156,USR-000214,2025-12-28,23.65,toys,returned,cod,FR
ORD-00000157,USR-000261,2024-09-16,43.17,home,cancelled,paypal,UK
ORD-00000158,USR-000256,2026-05-12,34.18,books,shipped,apple_pay,UK
ORD-00000159,USR-000022,2024-09-11,22.74,apparel,cancelled,paypal,FR
ORD-00000160,USR-000649,2025-07-11,67.75,books,cancelled,apple_pay,DE
ORD-00000161,USR-000864,2026-05-01,37.73,books,returned,apple_pay,UK
ORD-00000162,USR-000215,2025-09-13,19.38,sports,returned,apple_pay,US
ORD-00000163,USR-000265,2026-01-07,18.99,books,shipped,card,US
ORD-00000164,USR-000781,2026-07-21,32.08,home,shipped,cod,CA
ORD-00000165,USR-000957,2025-11-02,16.81,toys,returned,cod,FR
ORD-00000166,USR-000986,2024-12-06,21.22,books,cancelled,cod,US
ORD-00000167,USR-000419,2026-05-01,38.27,toys,delivered,cod,FR
ORD-00000168,USR-000053,2026-05-19,12.5,sports,delivered,card,US
ORD-00000169,USR-000987,2025-07-19,114.58,home,returned,card,UK
ORD-00000170,USR-000402,2026-01-22,23.65,sports,cancelled,card,UK
ORD-00000171,USR-000079,2026-01-06,27.22,apparel,delivered,cod,DE
ORD-00000172,USR-000679,2024-09-11,13.87,toys,shipped,paypal,UK
ORD-00000173,USR-000711,2026-06-03,35.48,sports,cancelled,card,UK
ORD-00000174,USR-000332,2025-04-10,17.55,toys,shipped,cod,UK
ORD-00000175,USR-000319,2025-02-05,36.86,electronics,returned,card,DE
ORD-00000176,USR-000852,2026-01-14,44.32,home,returned,card,UK
ORD-00000177,USR-000982,2024-11-02,62.53,toys,returned,cod,CA
ORD-00000178,USR-000774,2024-11-30,10.2,books,delivered,cod,CA
ORD-00000179,USR-000530,2026-02-18,37.07,toys,returned,card,DE
ORD-00000180,USR-000201,2026-07-09,17.69,apparel,delivered,card,US
ORD-00000181,USR-000871,2024-12-09,43.19,books,returned,apple_pay,US
ORD-00000182,USR-000991,2025-02-20,69.91,apparel,cancelled,apple_pay,CA
ORD-00000183,USR-000929,2025-03-04,111.6,sports,cancelled,cod,DE
ORD-00000184,USR-000050,2026-02-28,52.85,sports,shipped,card,CA
ORD-00000185,USR-000766,2026-03-22,21.65,toys,cancelled,paypal,FR
ORD-00000186,USR-000265,2026-06-18,14.41,sports,shipped,paypal,US
ORD-00000187,USR-000551,2025-11-08,13.74,toys,returned,card,DE
ORD-00000188,USR-000732,2025-02-04,22.66,apparel,returned,apple_pay,UK
ORD-00000189,USR-000888,2024-08-17,17.85,sports,shipped,cod,CA
ORD-00000190,USR-000398,2025-10-03,14.82,books,cancelled,card,FR
ORD-00000191,USR-000629,2025-09-11,72.41,books,returned,cod,UK
ORD-00000192,USR-000803,2025-04-06,23.99,home,cancelled,apple_pay,CA
ORD-00000193,USR-000964,2026-03-02,14.61,home,shipped,apple_pay,CA
ORD-00000194,USR-000457,2025-07-17,100.52,apparel,shipped,cod,DE
ORD-00000195,USR-000477,2025-06-25,20.42,apparel,cancelled,paypal,US
ORD-00000196,USR-000982,2025-01-28,52.49,home,delivered,apple_pay,FR
ORD-00000197,USR-000456,2025-05-09,19.0,apparel,cancelled,cod,CA
ORD-00000198,USR-000668,2025-12-08,40.54,toys,delivered,apple_pay,US
ORD-00000199,USR-000816,2025-08-23,20.46,toys,shipped,paypal,UK
ORD-00000200,USR-000740,2025-09-23,16.85,home,returned,apple_pay,CA
ORD-00000201,USR-000351,2026-07-10,40.6,sports,returned,card,US
ORD-00000202,USR-000883,2025-03-29,51.6,apparel,delivered,card,US
ORD-00000203,USR-000754,2024-10-05,15.78,toys,cancelled,cod,US
ORD-00000204,USR-000081,2025-01-02,40.93,books,returned,apple_pay,US
ORD-00000205,USR-000089,2024-08-11,29.38,home,shipped,cod,UK
ORD-00000206,USR-000412,2025-06-15,21.57,home,returned,cod,DE
ORD-00000207,USR-000946,2025-05-30,6.24,toys,returned,cod,US
ORD-00000208,USR-000288,2025-07-26,66.17,sports,returned,cod,FR
ORD-00000209,USR-000907,2026-06-13,8.18,toys,cancelled,paypal,UK
ORD-00000210,USR-000414,2024-08-17,15.31,home,delivered,card,UK
ORD-00000211,USR-000736,2025-12-28,14.5,electronics,delivered,paypal,FR
ORD-00000212,USR-000722,2026-04-11,12.76,home,delivered,apple_pay,UK
ORD-00000213,USR-000859,2026-07-10,23.81,books,returned,paypal,CA
ORD-00000214,USR-000069,2025-07-09,15.5,electronics,delivered,cod,DE
ORD-00000215,USR-000034,2025-07-15,17.59,electronics,shipped,card,UK
ORD-00000216,USR-000465,2024-11-15,42.97,electronics,cancelled,cod,UK
ORD-00000217,USR-000886,2025-11-02,18.69,electronics,cancelled,apple_pay,UK
ORD-00000218,USR-000106,2026-01-19,42.03,toys,shipped,cod,CA
ORD-00000219,USR-000859,2025-08-08,20.36,toys,returned,cod,UK
ORD-00000220,USR-000948,2025-02-24,58.92,home,delivered,paypal,US
ORD-00000221,USR-000993,2024-08-18,13.99,books,shipped,card,CA
ORD-00000222,USR-000364,2025-05-27,25.06,sports,cancelled,card,UK
ORD-00000223,USR-000216,2025-03-04,41.32,electronics,delivered,cod,FR
ORD-00000224,USR-000617,2025-12-09,4.58,books,delivered,apple_pay,US
ORD-00000225,USR-000939,2025-04-25,57.93,books,delivered,cod,DE
ORD-00000226,USR-000354,2025-02-07,35.75,books,shipped,card,FR
ORD-00000227,USR-000226,2025-12-17,9.45,books,delivered,card,US
ORD-00000228,USR-000201,2024-12-19,15.3,home,shipped,paypal,UK
ORD-00000229,USR-000937,2024-10-05,6.52,home,returned,paypal,US
ORD-00000230,USR-000861,2026-06-29,97.51,electronics,delivered,apple_pay,CA
ORD-00000231,USR-000484,2025-04-29,48.88,apparel,cancelled,cod,US
ORD-00000232,USR-000202,2025-04-08,15.63,toys,cancelled,apple_pay,CA
ORD-00000233,USR-000870,2025-12-07,16.28,home,cancelled,card,DE
ORD-00000234,USR-000452,2025-04-02,27.66,apparel,delivered,cod,UK
ORD-00000235,USR-000629,2025-08-25,29.23,home,cancelled,cod,DE
ORD-00000236,USR-000760,2025-09-21,50.29,toys,cancelled,apple_pay,UK
ORD-00000237,USR-000123,2024-09-28,91.61,electronics,delivered,paypal,DE
ORD-00000238,USR-000962,2025-11-18,103.24,home,cancelled,paypal,US
ORD-00000239,USR-000427,2025-09-29,19.05,books,delivered,card,DE
ORD-00000240,USR-000996,2026-03-21,16.56,toys,delivered,card,US
ORD-00000241,USR-000917,2025-09-05,40.98,electronics,shipped,apple_pay,CA
ORD-00000242,USR-000820,2026-04-11,39.81,electronics,returned,paypal,CA
ORD-00000243,USR-000704,2026-01-11,15.21,electronics,returned,cod,CA
ORD-00000244,USR-000032,2024-09-01,26.97,sports,delivered,card,US
ORD-00000245,USR-000354,2024-11-13,27.0,toys,cancelled,cod,CA
ORD-00000246,USR-000779,2026-04-12,7.51,apparel,shipped,paypal,CA
ORD-00000247,USR-000032,2025-01-26,18.45,books,cancelled,cod,CA
ORD-00000248,USR-000261,2025-04-25,56.04,apparel,shipped,apple_pay,US
ORD-00000249,USR-000303,2024-09-23,3.3,apparel,cancelled,card,CA
ORD-00000250,USR-000936,2025-12-05,34.02,apparel,returned,card,UK
ORD-00000251,USR-000566,2026-02-24,42.1,sports,cancelled,apple_pay,DE
ORD-00000252,USR-000270,2026-05-11,18.17,toys,cancelled,card,FR
ORD-00000253,USR-000024,2026-08-03,17.85,books,cancelled,cod,DE
ORD-00000254,USR-000987,2025-11-14,32.57,apparel,returned,apple_pay,UK
ORD-00000255,USR-000442,2024-12-24,39.26,books,returned,cod,DE
ORD-00000256,USR-000356,2025-11-05,16.5,toys,delivered,cod,CA
ORD-00000257,USR-000907,2026-06-15,13.52,home,returned,apple_pay,DE
ORD-00000258,USR-000925,2026-01-27,29.26,apparel,shipped,apple_pay,US
ORD-00000259,USR-000779,2025-04-20,35.06,books,cancelled,paypal,FR
ORD-00000260,USR-000173,2025-02-09,86.27,home,delivered,card,UK
ORD-00000261,USR-000471,2026-07-13,97.45,home,shipped,apple_pay,DE
ORD-00000262,USR-000132,2025-07-20,29.3,apparel,returned,cod,CA
ORD-00000263,USR-000655,2025-12-04,7.22,toys,shipped,paypal,DE
ORD-00000264,USR-000506,2026-03-11,18.01,toys,returned,apple_pay,DE
ORD-00000265,USR-000706,2025-02-16,39.43,electronics,cancelled,paypal,CA
ORD-00000266,USR-000539,2025-04-11,13.49,electronics,cancelled,paypal,US
ORD-00000267,USR-000448,2025-12-31,65.67,sports,cancelled,cod,DE
ORD-00000268,USR-000929,2025-07-29,19.78,apparel,returned,apple_pay,UK
ORD-00000269,USR-000821,2025-10-25,27.64,home,cancelled,apple_pay,FR
ORD-00000270,USR-000487,2024-10-05,19.77,home,shipped,card,DE
ORD-00000271,USR-000331,2024-12-03,45.94,electronics,returned,apple_pay,FR
ORD-00000272,USR-000726,2026-06-18,22.86,toys,delivered,apple_pay,FR
ORD-00000273,USR-000396,2024-09-24,11.69,apparel,delivered,cod,DE
ORD-00000274,USR-000264,2026-07-16,18.7,sports,cancelled,apple_pay,US
ORD-00000275,USR-000786,2025-09-07,15.26,home,delivered,cod,DE
ORD-00000276,USR-000543,2026-04-02,28.67,toys,delivered,card,FR
ORD-00000277,USR-000979,2025-04-03,6.44,electronics,delivered,card,DE
ORD-00000278,USR-000804,2025-01-01,38.92,sports,shipped,paypal,UK
ORD-00000279,USR-000149,2025-11-22,13.14,books,shipped,apple_pay,FR
ORD-00000280,USR-000172,2026-02-11,23.53,apparel,cancelled,cod,US
ORD-00000281,USR-000978,2025-02-07,6.25,books,delivered,apple_pay,US
ORD-00000282,USR-000813,2025-12-19,26.29,home,shipped,cod,CA
ORD-00000283,USR-000384,2026-07-20,51.82,sports,returned,card,UK
ORD-00000284,USR-000335,2024-10-23,15.0,apparel,cancelled,paypal,FR
ORD-00000285,USR-000158,2024-12-17,60.94,home,returned,paypal,DE
ORD-00000286,USR-000140,2025-04-10,10.88,electronics,returned,apple_pay,FR
ORD-00000287,USR-000588,2025-08-28,6.62,electronics,cancelled,cod,DE
ORD-00000288,USR-000757,2026-01-10,39.61,books,cancelled,card,CA
ORD-00000289,USR-000088,2025-10-24,81.19,toys,shipped,paypal,US
ORD-00000290,USR-000690,2025-04-28,24.4,home,shipped,card,CA
ORD-00000291,USR-000396,2025-04-09,14.65,books,cancelled,cod,DE
ORD-00000292,USR-000657,2026-03-26,25.03,sports,delivered,cod,FR
ORD-00000293,USR-000625,2024-12-28,23.67,toys,delivered,card,DE
ORD-00000294,USR-000495,2025-07-19,20.87,books,cancelled,apple_pay,US
ORD-00000295,USR-000813,2025-10-21,8.52,home,shipped,card,DE
ORD-00000296,USR-000940,2025-07-22,13.63,books,shipped,apple_pay,FR
ORD-00000297,USR-000488,2025-09-05,14.98,home,returned,apple_pay,FR
ORD-00000298,USR-000920,2025-08-16,11.47,home,shipped,apple_pay,CA
ORD-00000299,USR-000785,2024-10-06,21.02,sports,delivered,apple_pay,DE
ORD-00000300,USR-000820,2026-01-09,115.89,toys,delivered,apple_pay,FR
ORD-00000301,USR-000880,2025-08-19,62.21,toys,shipped,apple_pay,US
ORD-00000302,USR-000355,2024-09-08,10.43,sports,delivered,card,US
ORD-00000303,USR-000113,2025-05-30,12.45,home,returned,cod,CA
ORD-00000304,USR-000785,2024-10-04,17.53,toys,cancelled,cod,CA
ORD-00000305,USR-000178,2025-10-01,18.56,books,cancelled,cod,UK
ORD-00000306,USR-000107,2026-07-09,15.56,toys,returned,apple_pay,US
ORD-00000307,USR-000403,2026-05-25,34.05,home,returned,paypal,FR
ORD-00000308,USR-000682,2025-09-16,18.3,electronics,cancelled,apple_pay,UK
ORD-00000309,USR-000566,2025-03-04,99.54,home,returned,apple_pay,DE
ORD-00000310,USR-000371,2025-03-17,21.88,books,cancelled,card,CA
ORD-00000311,USR-000421,2025-07-21,14.77,toys,cancelled,cod,US
ORD-00000312,USR-000308,2026-03-09,18.29,sports,delivered,apple_pay,DE
ORD-00000313,USR-000686,2024-10-08,36.09,toys,shipped,apple_pay,US
ORD-00000314,USR-000570,2025-11-19,18.8,home,delivered,paypal,DE
ORD-00000315,USR-000962,2026-08-04,9.88,sports,delivered,card,DE
ORD-00000316,USR-000027,2026-02-18,13.92,toys,delivered,card,DE
ORD-00000317,USR-000768,2025-03-10,9.93,books,cancelled,card,DE
ORD-00000318,USR-000557,2025-07-11,20.06,books,cancelled,apple_pay,US
ORD-00000319,USR-000408,2026-05-24,43.58,toys,cancelled,paypal,FR
ORD-00000320,USR-000790,2026-06-14,57.06,sports,returned,paypal,UK
ORD-00000321,USR-000203,2025-07-11,48.42,electronics,cancelled,apple_pay,FR
ORD-00000322,USR-000609,2025-05-25,19.74,sports,shipped,paypal,FR
ORD-00000323,USR-000552,2025-08-23,5.19,electronics,shipped,apple_pay,US
ORD-00000324,USR-000772,2025-11-17,18.41,sports,cancelled,paypal,DE
ORD-00000325,USR-000651,2025-04-14,13.56,sports,returned,paypal,UK
ORD-00000326,USR-000492,2025-04-13,62.45,sports,returned,card,UK
ORD-00000327,USR-000533,2026-01-17,44.67,sports,shipped,apple_pay,DE
ORD-00000328,USR-000864,2025-12-10,10.26,sports,delivered,paypal,UK
ORD-00000329,USR-000186,2025-03-24,7.64,books,cancelled,card,CA
ORD-00000330,USR-000908,2026-03-09,25.37,sports,returned,card,US
ORD-00000331,USR-000830,2026-04-29,14.66,electronics,shipped,card,UK
ORD-00000332,USR-000642,2025-03-03,32.44,electronics,returned,card,US
ORD-00000333,USR-000600,2026-06-29,23.66,books,shipped,apple_pay,FR
ORD-00000334,USR-000886,2025-01-24,43.23,home,cancelled,cod,UK
ORD-00000335,USR-000717,2024-12-07,14.18,home,cancelled,apple_pay,US
ORD-00000336,USR-000113,2025-07-14,27.75,toys,cancelled,card,CA
ORD-00000337,USR-000392,2025-05-01,45.73,apparel,cancelled,paypal,US
ORD-00000338,USR-000212,2024-10-07,29.36,books,delivered,paypal,DE
ORD-00000339,USR-000858,2026-07-10,63.35,home,delivered,apple_pay,DE
ORD-00000340,USR-000962,2026-01-20,10.85,electronics,shipped,card,US
ORD-00000341,USR-000268,2025-03-31,31.72,electronics,cancelled,apple_pay,US
ORD-00000342,USR-000921,2025-04-30,13.56,electronics,shipped,cod,US
ORD-00000343,USR-000201,2025-07-19,22.81,toys,delivered,cod,DE
ORD-00000344,USR-000446,2024-09-14,8.76,sports,returned,paypal,FR
ORD-00000345,USR-000383,2024-10-08,8.74,sports,delivered,cod,CA
ORD-00000346,USR-000982,2025-11-20,14.16,books,returned,card,UK
ORD-00000347,USR-000106,2026-03-27,24.69,electronics,delivered,paypal,CA
ORD-00000348,USR-000397,2026-07-29,81.32,sports,cancelled,cod,DE
ORD-00000349,USR-000306,2024-12-04,7.3,sports,delivered,apple_pay,CA
ORD-00000350,USR-000624,2025-05-28,35.02,home,delivered,cod,US
ORD-00000351,USR-000235,2026-02-11,17.03,toys,delivered,cod,US
ORD-00000352,USR-000127,2025-09-24,31.16,home,delivered,paypal,DE
ORD-00000353,USR-000558,2024-10-06,12.11,apparel,returned,apple_pay,CA
ORD-00000354,USR-000121,2024-09-18,12.28,sports,shipped,apple_pay,CA
ORD-00000355,USR-000412,2025-05-03,37.09,apparel,returned,card,FR
ORD-00000356,USR-000725,2025-07-03,25.0,home,delivered,paypal,FR
ORD-00000357,USR-000238,2026-03-21,30.65,home,shipped,card,US
ORD-00000358,USR-000419,2024-11-25,19.73,home,delivered,cod,UK
ORD-00000359,USR-000347,2024-09-09,54.97,electronics,cancelled,card,US
ORD-00000360,USR-000898,2025-04-03,17.53,home,cancelled,cod,FR
ORD-00000361,USR-000593,2025-05-25,21.99,sports,delivered,cod,US
