transaction_id,customer_id,transaction_date,amount,merchant_category,transaction_type,currency,status
TXN-00000036,CUST-000198,2026-04-30,62.38,utilities,credit,GBP,pending
TXN-00000037,CUST-000736,2026-06-11,6.46,entertainment,credit,GBP,failed
TXN-00000038,CUST-000776,2025-11-09,11.22,utilities,credit,EUR,failed
TXN-00000039,CUST-000336,2025-09-25,20.02,electronics,debit,USD,pending
TXN-00000040,CUST-000393,2025-07-18,7.58,electronics,credit,GBP,failed
TXN-00000041,CUST-000587,2025-07-02,43.91,grocery,credit,EUR,completed
TXN-00000042,CUST-000416,2026-04-14,68.23,electronics,credit,GBP,completed
TXN-00000043,CUST-000225,2025-09-06,110.27,dining,transfer,GBP,pending
TXN-00000044,CUST-000426,2025-05-13,197.11,entertainment,debit,USD,failed
TXN-00000045,CUST-000773,2024-10-26,61.46,healthcare,credit,GBP,failed
TXN-00000046,CUST-000371,2025-05-11,8.77,grocery,transfer,GBP,completed
TXN-00000047,CUST-000587,2025-06-28,35.17,entertainment,transfer,EUR,completed
TXN-00000048,CUST-000697,2024-09-03,12.55,grocery,transfer,EUR,completed
TXN-00000049,CUST-000465,2025-10-23,13.96,healthcare,debit,GBP,pending
TXN-00000050,CUST-000689,2025-08-03,151.74,dining,credit,USD,failed
TXN-00000051,CUST-000224,2026-01-30,37.06,electronics,transfer,USD,failed
TXN-00000052,CUST-000062,2026-07-16,19.27,entertainment,transfer,GBP,failed
TXN-00000053,CUST-000987,2026-02-24,9.61,dining,credit,USD,failed
TXN-00000054,CUST-000988,2025-01-29,53.62,utilities,credit,USD,completed
TXN-00000055,CUST-000551,2026-02-17,27.99,travel,debit,USD,pending
TXN-00000056,CUST-000475,2024-09-27,55.85,healthcare,credit,USD,completed
TXN-00000057,CUST-000472,2024-09-18,24.74,utilities,debit,USD,failed
TXN-00000058,CUST-000430,2025-04-18,392.93,grocery,debit,USD,completed
TXN-00000059,CUST-000104,2025-04-30,41.8,utilities,transfer,USD,completed
TXN-00000060,CUST-000759,2026-04-03,10.86,healthcare,debit,USD,completed
TXN-00000061,CUST-000516,2024-10-08,127.51,healthcare,transfer,GBP,pending
TXN-00000062,CUST-000243,2025-05-11,24.11,utilities,transfer,USD,pending
TXN-00000063,CUST-000308,2026-02-21,16.51,healthcare,transfer,USD,failed
TXN-00000064,CUST-000696,2024-12-24,27.16,electronics,transfer,GBP,pending
TXN-00000065,CUST-000805,2026-01-14,36.99,dining,debit,EUR,pending
TXN-00000066,CUST-000189,2024-09-30,64.28,entertainment,debit,EUR,failed
TXN-00000067,CUST-000148,2025-10-12,472.42,healthcare,transfer,USD,pending
TXN-00000068,CUST-000249,2026-08-05,20.04,grocery,credit,EUR,completed
TXN-00000069,CUST-000549,2025-05-09,48.46,electronics,credit,GBP,failed
TXN-00000070,CUST-000618,2025-11-21,91.27,utilities,transfer,USD,pending
TXN-00000071,CUST-000214,2024-08-28,70.82,grocery,debit,USD,failed
TXN-00000072,CUST-000121,2025-10-22,131.52,travel,transfer,GBP,failed
TXN-00000073,CUST-000210,2026-03-27,27.48,electronics,credit,EUR,pending
TXN-00000074,CUST-000547,2026-01-18,44.48,electronics,transfer,EUR,pending
TXN-00000075,CUST-000101,2024-09-08,147.99,entertainment,credit,USD,pending
TXN-00000076,CUST-000321,2025-04-21,25.28,travel,transfer,USD,completed
TXN-00000077,CUST-000268,2026-01-14,39.48,utilities,credit,EUR,completed
TXN-00000078,CUST-000201,2025-11-11,22.73,entertainment,debit,EUR,failed
TXN-00000079,CUST-000671,2026-06-17,82.99,entertainment,credit,GBP,failed
TXN-00000080,CUST-000758,2026-05-06,32.61,entertainment,credit,USD,completed
TXN-00000081,CUST-000738,2026-04-05,35.81,healthcare,transfer,USD,failed
TXN-00000082,CUST-000035,2026-07-24,40.14,travel,debit,USD,failed
TXN-00000083,CUST-000467,2025-04-09,21.0,utilities,transfer,EUR,failed
TXN-00000084,CUST-000500,2025-01-03,29.26,utilities,credit,GBP,pending
TXN-00000085,CUST-000018,2026-04-14,33.45,dining,debit,USD,completed
TXN-00000086,CUST-000537,2025-07-15,18.24,healthcare,credit,EUR,pending
TXN-00000087,CUST-000815,2025-12-06,26.42,dining,credit,GBP,completed
TXN-00000088,CUST-000714,2026-04-23,10.07,entertainment,debit,GBP,failed
TXN-00000089,CUST-000778,2026-08-02,11.24,dining,transfer,EUR,completed
TXN-00000090,CUST-000653,2026-05-02,33.1,entertainment,credit,GBP,completed
TXN-00000091,CUST-000917,2024-08-12,34.48,travel,transfer,GBP,pending
TXN-00000092,CUST-000278,2025-02-14,36.24,entertainment,credit,USD,completed
TXN-00000093,CUST-000602,2024-12-17,17.61,healthcare,credit,GBP,failed
TXN-00000094,CUST-000340,2024-08-17,17.95,entertainment,transfer,GBP,completed
TXN-00000095,CUST-000513,2025-09-05,55.42,grocery,credit,USD,completed
TXN-00000096,CUST-000349,2025-11-24,48.12,healthcare,credit,EUR,completed
TXN-00000097,CUST-000650,2025-06-14,32.46,dining,credit,USD,failed
TXN-00000098,CUST-000600,2025-11-28,42.15,healthcare,credit,USD,failed
TXN-00000099,CUST-000076,2026-01-17,73.22,utilities,credit,EUR,pending
TXN-00000100,CUST-000110,2025-07-03,24.1,grocery,debit,USD,completed
TXN-00000101,CUST-000442,2025-10-06,28.28,dining,debit,USD,completed
TXN-00000102,CUST-000363,2026-03-29,39.83,entertainment,credit,EUR,completed
TXN-00000103,CUST-000299,2025-06-04,19.38,utilities,transfer,USD,failed
TXN-00000104,CUST-000534,2026-02-14,15.92,travel,credit,EUR,pending
TXN-00000105,CUST-000505,2026-07-24,18.48,electronics,credit,EUR,pending
TXN-00000106,CUST-000802,2026-04-06,15.24,travel,transfer,GBP,pending
TXN-00000107,CUST-000609,2025-12-01,44.49,travel,credit,USD,pending
TXN-00000108,CUST-000341,2026-03-06,70.53,entertainment,credit,EUR,pending
TXN-00000109,CUST-000441,2026-03-29,18.2,dining,credit,EUR,failed
TXN-00000110,CUST-000712,2024-09-24,58.8,electronics,credit,EUR,completed
TXN-00000111,CUST-000955,2025-09-22,41.05,healthcare,debit,GBP,failed
TXN-00000112,CUST-000028,2025-08-17,105.09,utilities,debit,EUR,pending
TXN-00000113,CUST-000852,2026-05-02,142.86,entertainment,credit,GBP,pending
TXN-00000114,CUST-000143,2026-01-30,42.16,utilities,debit,GBP,pending
TXN-00000115,CUST-000809,2024-08-27,24.38,healthcare,credit,GBP,pending
TXN-00000116,CUST-000548,2025-10-25,37.11,utilities,credit,GBP,completed
TXN-00000117,CUST-000810,2026-06-25,95.13,grocery,debit,USD,failed
TXN-00000118,CUST-000681,2025-01-16,18.85,grocery,transfer,GBP,failed
TXN-00000119,CUST-000663,2026-04-12,18.97,entertainment,credit,USD,completed
TXN-00000120,CUST-000101,2025-10-11,16.83,healthcare,transfer,GBP,failed
TXN-00000121,CUST-000590,2024-09-26,17.96,dining,transfer,GBP,failed
TXN-00000122,CUST-000513,2025-02-27,32.02,grocery,debit,GBP,completed
TXN-00000123,CUST-000357,2025-09-29,20.61,travel,transfer,EUR,pending
TXN-00000124,CUST-000488,2026-03-26,30.88,grocery,transfer,USD,completed
TXN-00000125,CUST-000870,2024-09-26,26.0,entertainment,debit,GBP,completed
TXN-00000126,CUST-000529,2025-07-15,19.45,healthcare,credit,EUR,completed
TXN-00000127,CUST-000817,2024-09-12,28.23,utilities,transfer,EUR,pending
TXN-00000128,CUST-000030,2024-12-29,29.33,grocery,transfer,USD,completed
TXN-00000129,CUST-000286,2024-11-15,202.45,grocery,transfer,USD,failed
TXN-00000130,CUST-000192,2025-12-25,26.33,grocery,credit,GBP,pending
TXN-00000131,CUST-000541,2025-12-08,84.04,dining,transfer,EUR,failed
TXN-00000132,CUST-000117,2025-08-28,8.58,healthcare,debit,GBP,failed
TXN-00000133,CUST-000820,2025-04-16,16.1,grocery,transfer,USD,pending
TXN-00000134,CUST-000121,2026-04-16,22.06,electronics,transfer,USD,failed
TXN-00000135,CUST-000398,2025-12-09,29.07,dining,credit,USD,pending
TXN-00000136,CUST-000651,2025-12-25,62.46,travel,transfer,USD,pending
TXN-00000137,CUST-000296,2025-07-11,16.12,dining,transfer,USD,pending
TXN-00000138,CUST-000975,2026-04-01,33.61,utilities,credit,EUR,failed
TXN-00000139,CUST-000861,2026-04-22,30.19,healthcare,debit,USD,pending
TXN-00000140,CUST-000034,2026-03-04,16.98,travel,credit,GBP,failed
TXN-00000141,CUST-000792,2024-10-08,74.48,grocery,transfer,USD,pending
TXN-00000142,CUST-000794,2025-12-11,41.98,entertainment,transfer,EUR,failed
TXN-00000143,CUST-000224,2025-07-13,204.75,electronics,debit,EUR,pending
TXN-00000144,CUST-000357,2025-12-30,56.93,utilities,transfer,GBP,pending
TXN-00000145,CUST-000882,2025-08-13,72.79,travel,transfer,USD,completed
TXN-00000146,CUST-000834,2026-05-13,24.91,healthcare,debit,EUR,failed
TXN-00000147,CUST-000300,2024-10-20,22.32,entertainment,transfer,GBP,completed
TXN-00000148,CUST-000139,2025-09-23,58.97,entertainment,debit,USD,completed
TXN-00000149,CUST-000729,2025-06-15,23.94,entertainment,transfer,EUR,pending
TXN-00000150,CUST-000146,2025-11-30,38.29,dining,credit,EUR,completed
TXN-00000151,CUST-000649,2026-01-27,190.45,dining,transfer,GBP,pending
TXN-00000152,CUST-000712,2026-06-03,85.55,dining,credit,GBP,completed
TXN-00000153,CUST-000890,2025-03-19,135.32,utilities,credit,GBP,failed
TXN-00000154,CUST-000715,2024-08-28,26.9,healthcare,credit,USD,pending
TXN-00000155,CUST-000845,2025-08-01,19.29,entertainment,credit,EUR,failed
TXN-00000156,CUST-000592,2025-01-02,95.63,grocery,debit,USD,pending
TXN-00000157,CUST-000468,2025-03-28,8.92,travel,transfer,EUR,completed
TXN-00000158,CUST-000896,2025-10-16,75.04,utilities,credit,EUR,completed
TXN-00000159,CUST-000381,2025-05-20,63.0,grocery,credit,GBP,pending
TXN-00000160,CUST-000744,2026-03-14,47.34,utilities,debit,GBP,completed
TXN-00000161,CUST-000002,2025-12-22,21.62,healthcare,debit,GBP,failed
TXN-00000162,CUST-000456,2026-08-02,29.29,grocery,debit,EUR,completed
TXN-00000163,CUST-000749,2026-03-28,52.89,electronics,credit,USD,pending
TXN-00000164,CUST-000793,2024-11-25,60.45,grocery,transfer,GBP,completed
TXN-00000165,CUST-000625,2025-04-23,47.83,utilities,debit,GBP,failed
TXN-00000166,CUST-000156,2026-03-27,148.56,dining,debit,USD,completed
TXN-00000167,CUST-000144,2026-04-17,77.03,dining,credit,EUR,pending
TXN-00000168,CUST-000811,2026-07-18,16.72,grocery,debit,GBP,failed
TXN-00000169,CUST-000615,2025-05-04,50.63,utilities,debit,GBP,pending
TXN-00000170,CUST-000211,2025-01-30,34.8,utilities,credit,EUR,failed
TXN-00000171,CUST-000056,2026-06-16,218.92,travel,credit,EUR,completed
TXN-00000172,CUST-000247,2026-04-09,33.07,healthcare,debit,EUR,pending
TXN-00000173,CUST-000136,2026-06-21,12.62,dining,credit,GBP,failed
TXN-00000174,CUST-000177,2025-12-05,14.81,grocery,debit,EUR,failed
TXN-00000175,CUST-000294,2026-03-13,47.16,dining,credit,GBP,pending
TXN-00000176,CUST-000085,2026-01-24,50.26,travel,credit,USD,pending
TXN-00000177,CUST-000081,2026-03-02,33.77,entertainment,debit,GBP,pending
TXN-00000178,CUST-000401,2025-10-27,54.65,utilities,transfer,GBP,completed
TXN-00000179,CUST-000318,2025-04-22,90.9,entertainment,debit,USD,completed
TXN-00000180,CUST-000089,2024-09-12,38.98,utilities,transfer,GBP,failed
TXN-00000181,CUST-000180,2025-04-25,46.1,electronics,transfer,GBP,failed
TXN-00000182,CUST-000266,2025-06-14,19.62,entertainment,credit,GBP,completed
TXN-00000183,CUST-000790,2026-02-05,75.59,dining,credit,GBP,completed
TXN-00000184,CUST-000270,2026-05-12,65.91,grocery,credit,EUR,failed
TXN-00000185,CUST-000369,2026-01-18,19.25,entertainment,debit,GBP,failed
TXN-00000186,CUST-000741,2025-06-08,3.19,travel,debit,GBP,failed
TXN-00000187,CUST-000759,2025-07-19,43.62,travel,credit,GBP,pending
TXN-00000188,CUST-000278,2025-04-30,94.09,grocery,transfer,GBP,completed
TXN-00000189,CUST-000184,2024-11-04,15.11,grocery,credit,USD,pending
TXN-00000190,CUST-000887,2024-11-11,4.83,electronics,debit,GBP,pending
TXN-00000191,CUST-000009,2024-10-29,25.69,entertainment,credit,GBP,failed
TXN-00000192,CUST-000249,2026-01-21,29.33,dining,debit,GBP,failed
TXN-00000193,CUST-000779,2025-02-15,53.42,dining,debit,USD,failed
TXN-00000194,CUST-000355,2025-07-02,60.86,grocery,credit,USD,failed
TXN-00000195,CUST-000386,2026-07-25,191.69,grocery,debit,GBP,completed
TXN-00000196,CUST-000430,2025-08-07,32.73,travel,transfer,EUR,completed
TXN-00000197,CUST-000045,2025-10-25,36.26,electronics,credit,GBP,completed
TXN-00000198,CUST-000595,2025-05-08,39.05,travel,debit,EUR,pending
TXN-00000199,CUST-000872,2026-07-28,9.26,utilities,transfer,EUR,pending
TXN-00000200,CUST-000464,2026-06-17,23.61,travel,debit,GBP,completed
TXN-00000201,CUST-000160,2025-12-08,12.39,electronics,credit,USD,failed
TXN-00000202,CUST-000367,2026-06-29,23.15,grocery,debit,USD,failed
TXN-00000203,CUST-000312,2025-11-29,145.15,grocery,debit,EUR,completed
TXN-00000204,CUST-000094,2025-03-20,28.51,electronics,credit,USD,completed
TXN-00000205,CUST-000975,2025-09-04,26.06,utilities,transfer,USD,completed
TXN-00000206,CUST-000474,2025-05-07,54.37,travel,credit,EUR,failed
TXN-00000207,CUST-000646,2025-10-23,138.57,grocery,debit,USD,completed
TXN-00000208,CUST-000925,2025-10-13,94.69,grocery,credit,USD,completed
TXN-00000209,CUST-000965,2026-02-08,31.05,healthcare,credit,GBP,pending
TXN-00000210,CUST-000509,2024-12-15,18.69,travel,credit,EUR,pending
TXN-00000211,CUST-000905,2024-11-21,9.49,healthcare,debit,GBP,pending
TXN-00000212,CUST-000511,2024-09-03,25.31,grocery,debit,EUR,pending
TXN-00000213,CUST-000141,2024-10-05,24.28,entertainment,transfer,USD,failed
TXN-00000214,CUST-000822,2025-01-01,35.2,dining,transfer,EUR,pending
TXN-00000215,CUST-000558,2025-12-30,59.67,healthcare,transfer,EUR,pending
TXN-00000216,CUST-000277,2026-05-22,17.37,travel,debit,EUR,completed
TXN-00000217,CUST-000829,2025-06-15,44.41,entertainment,transfer,USD,completed
TXN-00000218,CUST-000590,2025-10-04,9.59,entertainment,debit,USD,completed
TXN-00000219,CUST-000607,2024-11-24,12.76,electronics,transfer,USD,failed
TXN-00000220,CUST-000718,2026-03-23,20.68,travel,transfer,USD,pending
TXN-00000221,CUST-000556,2024-10-28,19.8,grocery,debit,USD,failed
TXN-00000222,CUST-000225,2024-10-12,9.37,electronics,transfer,USD,completed
TXN-00000223,CUST-000349,2025-06-11,66.59,grocery,debit,GBP,failed
TXN-00000224,CUST-000940,2025-10-09,35.05,grocery,credit,GBP,failed
TXN-00000225,CUST-000406,2024-12-24,39.56,electronics,debit,USD,failed
TXN-00000226,CUST-000972,2025-05-05,26.04,dining,transfer,EUR,completed
TXN-00000227,CUST-000725,2025-12-16,13.14,travel,credit,EUR,failed
TXN-00000228,CUST-000706,2025-01-10,23.5,grocery,transfer,GBP,pending
TXN-00000229,CUST-000872,2024-10-02,13.71,dining,debit,EUR,failed
TXN-00000230,CUST-000080,2026-02-17,178.45,dining,debit,EUR,completed
TXN-00000231,CUST-000256,2025-07-23,49.81,entertainment,debit,GBP,completed
TXN-00000232,CUST-000050,2025-01-13,18.44,travel,credit,EUR,pending
TXN-00000233,CUST-000360,2025-03-30,35.53,dining,transfer,GBP,failed
TXN-00000234,CUST-000231,2025-05-22,64.91,electronics,credit,USD,completed
TXN-00000235,CUST-000351,2024-11-12,16.04,utilities,debit,GBP,completed
TXN-00000236,CUST-000347,2026-03-14,46.25,dining,transfer,USD,pending
TXN-00000237,CUST-000966,2026-01-19,56.65,dining,debit,USD,completed
TXN-00000238,CUST-000340,2025-07-23,20.11,utilities,transfer,GBP,failed
TXN-00000239,CUST-000554,2025-01-24,21.15,travel,debit,USD,pending
TXN-00000240,CUST-000586,2025-04-05,37.86,grocery,credit,USD,pending
TXN-00000241,CUST-000090,2025-04-07,14.38,healthcare,credit,USD,completed
TXN-00000242,CUST-000027,2025-06-13,10.9,grocery,credit,USD,pending
TXN-00000243,CUST-000804,2024-12-11,25.14,utilities,credit,USD,failed
TXN-00000244,CUST-000558,2024-11-15,25.91,dining,credit,USD,pending
TXN-00000245,CUST-000046,2025-12-14,18.04,travel,credit,GBP,completed
TXN-00000246,CUST-000155,2026-02-25,93.79,grocery,transfer,EUR,failed
TXN-00000247,CUST-000424,2026-07-07,52.57,entertainment,transfer,EUR,failed
TXN-00000248,CUST-000704,2025-02-09,86.38,travel,credit,EUR,completed
TXN-00000249,CUST-000405,2025-08-11,34.09,entertainment,transfer,GBP,failed
TXN-00000250,CUST-000151,2024-10-30,13.6,utilities,credit,USD,failed
TXN-00000251,CUST-000152,2025-09-20,61.43,utilities,debit,USD,pending
TXN-00000252,CUST-000570,2025-05-29,26.87,electronics,transfer,EUR,completed
TXN-00000253,CUST-000806,2026-04-24,64.52,entertainment,credit,USD,pending
TXN-00000254,CUST-000154,2025-10-12,10.26,entertainment,debit,USD,failed
TXN-00000255,CUST-000799,2025-03-08,15.38,healthcare,credit,EUR,pending
TXN-00000256,CUST-000393,2025-05-04,54.4,dining,debit,USD,pending
TXN-00000257,CUST-000413,2025-07-04,9.5,utilities,credit,USD,pending
TXN-00000258,CUST-000911,2025-09-29,177.77,grocery,transfer,EUR,pending
TXN-00000259,CUST-000919,2024-12-06,25.42,entertainment,credit,EUR,pending
TXN-00000260,CUST-000864,2024-11-09,31.89,grocery,debit,USD,pending
TXN-00000261,CUST-000998,2025-10-05,145.51,electronics,credit,GBP,pending
TXN-00000262,CUST-000620,2024-10-07,42.35,travel,credit,GBP,pending
TXN-00000263,CUST-000778,2025-11-22,34.34,grocery,transfer,USD,completed
TXN-00000264,CUST-000319,2025-08-16,53.63,entertainment,transfer,GBP,completed
TXN-00000265,CUST-000178,2025-04-10,61.33,dining,debit,EUR,failed
TXN-00000266,CUST-000204,2026-06-20,5.71,healthcare,credit,GBP,completed
TXN-00000267,CUST-000698,2026-03-10,11.86,healthcare,credit,USD,pending
TXN-00000268,CUST-000601,2025-09-26,36.87,entertainment,credit,GBP,failed
TXN-00000269,CUST-000093,2025-02-26,20.47,travel,transfer,USD,completed
TXN-00000270,CUST-000663,2026-01-17,20.58,utilities,credit,GBP,completed
TXN-00000271,CUST-000886,2026-04-16,173.32,grocery,credit,USD,failed
TXN-00000272,CUST-000178,2025-05-08,38.09,electronics,transfer,EUR,failed
TXN-00000273,CUST-000991,2026-02-13,49.23,dining,credit,EUR,pending
TXN-00000274,CUST-000224,2025-11-24,28.74,entertainment,transfer,EUR,failed
TXN-00000275,CUST-000105,2025-03-27,40.76,electronics,credit,GBP,completed
TXN-00000276,CUST-000494,2026-07-14,133.37,electronics,transfer,GBP,failed
TXN-00000277,CUST-000306,2025-12-27,13.65,travel,debit,GBP,pending
TXN-00000278,CUST-000677,2025-08-04,24.83,grocery,transfer,EUR,pending
TXN-00000279,CUST-000266,2025-07-26,84.6,utilities,debit,GBP,failed
TXN-00000280,CUST-000586,2026-04-17,64.09,utilities,debit,GBP,failed
TXN-00000281,CUST-000654,2024-10-04,53.45,entertainment,debit,GBP,failed
TXN-00000282,CUST-000186,2025-03-15,19.4,utilities,credit,GBP,failed
TXN-00000283,CUST-000782,2024-10-01,161.9,travel,credit,USD,failed
TXN-00000284,CUST-000893,2024-11-07,9.49,electronics,credit,EUR,failed
TXN-00000285,CUST-000302,2025-03-16,31.3,grocery,transfer,GBP,failed
TXN-00000286,CUST-000967,2025-03-16,45.32,travel,transfer,USD,failed
TXN-00000287,CUST-000391,2025-03-29,35.51,entertainment,debit,USD,completed
TXN-00000288,CUST-000351,2025-04-20,24.79,dining,debit,EUR,failed
TXN-00000289,CUST-000185,2025-08-10,69.9,utilities,debit,EUR,failed
TXN-00000290,CUST-000060,2025-12-29,50.97,entertainment,debit,EUR,completed
TXN-00000291,CUST-000133,2024-09-27,50.84,dining,credit,EUR,pending
TXN-00000292,CUST-000005,2025-04-06,27.75,electronics,transfer,USD,completed
TXN-00000293,CUST-000693,2025-04-22,24.84,healthcare,transfer,EUR,completed
TXN-00000294,CUST-000067,2026-04-26,62.38,electronics,credit,GBP,failed
TXN-00000295,CUST-000611,2024-11-18,35.11,utilities,debit,EUR,pending
TXN-00000296,CUST-000368,2026-07-17,49.95,entertainment,credit,USD,completed
TXN-00000297,CUST-000230,2024-12-01,47.41,utilities,debit,GBP,failed
TXN-00000298,CUST-000174,2025-11-03,62.91,utilities,credit,GBP,failed
TXN-00000299,CUST-000050,2025-08-19,37.92,grocery,transfer,USD,completed
TXN-00000300,CUST-000707,2026-01-25,12.82,grocery,transfer,EUR,pending
TXN-00000301,CUST-000719,2024-12-23,6.95,utilities,debit,EUR,pending
TXN-00000302,CUST-000678,2025-10-14,10.57,healthcare,transfer,GBP,completed
TXN-00000303,CUST-000429,2026-04-24,54.98,utilities,transfer,USD,pending
TXN-00000304,CUST-000117,2025-07-03,72.1,healthcare,debit,EUR,failed
TXN-00000305,CUST-000997,2025-04-22,8.33,electronics,debit,USD,failed
TXN-00000306,CUST-000509,2025-06-09,31.99,grocery,transfer,USD,completed
TXN-00000307,CUST-000856,2026-05-14,40.49,grocery,transfer,USD,failed
TXN-00000308,CUST-000741,2025-02-11,15.87,travel,credit,EUR,pending
TXN-00000309,CUST-000476,2024-12-31,18.29,dining,transfer,USD,completed
TXN-00000310,CUST-000872,2024-10-20,139.08,travel,credit,EUR,pending
TXN-00000311,CUST-000979,2025-09-03,131.05,grocery,credit,EUR,completed
TXN-00000312,CUST-000117,2026-05-20,19.89,entertainment,credit,EUR,failed
TXN-00000313,CUST-000908,2026-03-09,52.43,utilities,transfer,USD,completed
TXN-00000314,CUST-000107,2026-07-22,24.99,entertainment,transfer,GBP,pending
TXN-00000315,CUST-000186,2026-03-20,66.14,healthcare,debit,GBP,failed
TXN-00000316,CUST-000997,2025-09-04,93.7,dining,debit,EUR,pending
TXN-00000317,CUST-000048,2025-04-02,37.82,utilities,transfer,USD,failed
TXN-00000318,CUST-000895,2025-05-27,20.79,utilities,transfer,USD,pending
TXN-00000319,CUST-000678,2026-02-13,60.37,utilities,transfer,GBP,pending
TXN-00000320,CUST-000153,2025-01-21,94.97,healthcare,debit,USD,failed
TXN-00000321,CUST-000957,2026-06-13,10.51,travel,credit,EUR,completed
TXN-00000322,CUST-000520,2025-11-21,11.39,dining,debit,USD,pending
TXN-00000323,CUST-000455,2025-02-23,70.05,entertainment,credit,EUR,pending
TXN-00000324,CUST-000122,2026-03-17,10.92,grocery,transfer,GBP,completed
TXN-00000325,CUST-000846,2024-09-21,8.02,healthcare,transfer,EUR,failed
TXN-00000326,CUST-000576,2026-01-14,9.73,electronics,credit,USD,completed
TXN-00000327,CUST-000865,2024-08-19,28.73,healthcare,transfer,EUR,failed
TXN-00000328,CUST-000673,2024-11-22,23.51,grocery,transfer,USD,completed
TXN-00000329,CUST-000350,2025-07-29,19.25,entertainment,credit,GBP,failed
TXN-00000330,CUST-000383,2026-02-06,44.29,travel,credit,USD,failed
TXN-00000331,CUST-000761,2025-07-20,46.55,healthcare,debit,USD,completed
TXN-00000332,CUST-000953,2025-11-05,61.33,entertainment,debit,GBP,pending
TXN-00000333,CUST-000111,2025-04-19,57.84,grocery,credit,EUR,failed
TXN-00000334,CUST-000604,2026-04-15,33.0,grocery,transfer,EUR,failed
TXN-00000335,CUST-000495,2024-11-25,6.76,healthcare,credit,GBP,pending
TXN-00000336,CUST-000429,2026-06-12,54.36,electronics,credit,EUR,completed
TXN-00000337,CUST-000142,2024-08-09,22.22,utilities,transfer,EUR,failed
TXN-00000338,CUST-000561,2026-04-21,184.59,healthcare,transfer,USD,completed
TXN-00000339,CUST-000215,2026-03-15,42.11,electronics,transfer,USD,failed
TXN-00000340,CUST-000666,2025-08-12,38.88,utilities,debit,EUR,failed
TXN-00000341,CUST-000492,2026-05-11,240.43,utilities,credit,GBP,failed
TXN-00000342,CUST-000916,2025-10-31,63.82,entertainment,credit,USD,failed
TXN-00000343,CUST-000110,2025-10-28,44.35,entertainment,debit,EUR,failed
TXN-00000344,CUST-000257,2026-06-24,54.07,healthcare,debit,EUR,pending
TXN-00000345,CUST-000105,2025-11-19,54.11,healthcare,debit,GBP,failed
TXN-00000346,CUST-000575,2025-01-11,24.24,entertainment,transfer,EUR,failed
TXN-00000347,CUST-000681,2024-11-29,12.12,dining,transfer,EUR,failed
